sd,pd,os,bs,target_co_simplified,target_pr_simplified
"odd behavior in osgi, adding more contraints make problem solveable?",Equinox,Linux,RESOLVED,Other,P3
handleractivation should also check ihandler.isenabled to prevent conflicting handlers,Platform,Windows 10,REOPENED,UI,P3
launchbar cannot be updated with check for updates,EPP,Linux,RESOLVED,Other,P3
clicking on a link inside a tooltip always open a blank page,z_Archived,Windows 10,CLOSED,Other,P3
[13] formatter support for jep 354 switch expression,JDT,All,RESOLVED,Core,P3
[13] formatter support for jep 355 text block,JDT,All,RESOLVED,Core,P3
@inherited annotation matching not working as expected,AspectJ,Windows 10,NEW,Other,P3
jacoco 0.8.4 and java 11 agent conflict,AspectJ,All,NEW,Other,P3
"no first blob, is the source zero length? during git rebase",JGit,Windows 10,RESOLVED,JGit,P3
imenuservice is disposed twice on shutdown,Platform,Windows 10,RESOLVED,UI,P3
[pde] rework usages of abstractuiplugin#imagedescriptorfromplugin,PDE,All,RESOLVED,UI,P3
[jdt] rework usages of abstractuiplugin#imagedescriptorfromplugin,JDT,All,RESOLVED,UI,P3
building an html program (javaweb). when i started typing javascrip code to ide it does not suggest automatic code.,JSDT,Windows 10,CLOSED,Other,P3
(java 8?) future threads not being started after stopping at a breakpoint,JDT,Windows 7,CLOSED,Debug,P3
data source explorer showing column names duplicated,Data Tools,Windows 10,NEW,Other,P3
incorrect intersectiontype inferring,JDT,Linux,VERIFIED,Core,P3
[preferences] allow to set preferences on a per contenttype basis,Platform,All,NEW,Runtime,P3
[dialog] reference to class without explicit import has validation error,eTrice,Windows 10,RESOLVED,Other,P3
[release] technology.rdf4j 3.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
editor ui distorts upon horizontal scroll,Platform,Mac OS X,RESOLVED,IDE,P3
[mac][api]query the current system setting for dark mode,Platform,Mac OS X,VERIFIED,SWT,P3
observing db events right after creation not supported currently,EMF,Windows 7,NEW,Other,P3
idbdeltavisitor.filter.policy is not configurable,EMF,Windows 7,NEW,Other,P3
jobs are not visible in tabs at jenkins.eclipse.org,Community,Linux,CLOSED,CI-Jenkins,P3
generate a class type entry to constant pool for inlined constants,JDT,All,NEW,Core,P3
no way to use in-memory git-repo with ssh authentication,JGit,All,RESOLVED,JGit,P3
javabuilder.build() does not build on .settings/org.eclipse.jdt.core.prefs changes,JDT,All,VERIFIED,Core,P3
enable travis ci for eclipse-ee4j/grizzly,Community,Linux,CLOSED,GitHub,P3
enable travis ci for eclipse-ee4j/ejb-api,Community,Linux,CLOSED,GitHub,P3
"dropdown: ""no output event"" is empty field",4DIAC,All,CLOSED,4DIAC-IDE,P3
eclipse theia: added webmaster as admin of repo theia-ide/theia,Community,Linux,RESOLVED,GitHub,P3
"btf: trace parser stops after comment rows (starting with ""# "")",Tracecompass,Linux,RESOLVED,Other,P3
save fails when content merge viewer swapped,EMFCompare,Mac OS X,CLOSED,UI,P3
[releng] initialize log4j properly for xtext.,OCL,Windows 10,RESOLVED,Core,P3
"btf: ""notes"" column is present breaks event state machine",Tracecompass,Linux,RESOLVED,Other,P3
quickfix text does not match desired action,CDT,Linux,RESOLVED,Other,P3
create a github repository for jakarta ee examples,Community,Linux,RESOLVED,GitHub,P3
create github repos for dependency injection.,Community,Linux,CLOSED,GitHub,P3
setup secret text variable for sonarcloud id-secret,Community,Linux,CLOSED,CI-Jenkins,P3
"refactor unimplementedcodefix, typeparametersfix, and unusedcodefix for use by jdt.ls",JDT,Linux,VERIFIED,UI,P3
junit run configuration fails to see/find a kotlint test class,JDT,Linux,NEW,UI,P3
"error starting process.cannot run program ""c:\users\alm\eclipse-workspace-n\helloworld-n\debug\src\helloworld-n.o"": launching failed",Platform,Windows 10,NEW,IDE,P3
[13] text block support in java editor for jep 355 text block,JDT,Windows 10,RESOLVED,UI,P3
provide an easy way to report spam comments / suspend spammer accounts,Community,All,NEW,Other,P3
npe in importj2eemoduledropassistant,WTP Java EE Tools,Linux,NEW,Other,P3
[pivot] optimization,OCL,Windows 10,NEW,Core,P3
npe in treenodeitemproviderspec.getchildren,EMFCompare,Windows 10,CLOSED,Core,P3
emf compare oomph setup contains non existing update site,EMFCompare,Windows 10,NEW,Core,P3
horizontal scrollbar scroll left when the vertical one scroll down,Tracecompass,Windows 10,CLOSED,Other,P3
[mac]api tools error in display.java,Platform,Mac OS X,VERIFIED,SWT,P3
[13] test failures in y-build related to preview features in java 12 project,JDT,All,RESOLVED,UI,P3
[performance] optimization of semantic candidates evaluation,Sirius,Windows NT,UNCONFIRMED,Diagram,P3
[release] technology.microprofile 3.1.0,Community,All,RESOLVED,Proposals and Reviews,P3
filesystem export does not preserve file permissions and attributes,Platform,Linux,RESOLVED,IDE,P3
runtimeutil does not consider timetype correctly,App4mc,All,CLOSED,General,P3
[code mining] code mining is not correct (with 4 parameters?),JDT,Windows 10,CLOSED,UI,P3
textcelleditor must convert empty string to null,ECP,Linux,CLOSED,EMF Forms,P3
remove spam comments,Community,Linux,CLOSED,Other,P3
mosquitto,Community,Linux,CLOSED,Other,P3
build of native component on linux does not respect cflags/ldflags,Equinox,Linux,RESOLVED,Other,P3
surprising semantics of the strict check for unlikely argument types,JDT,Mac OS X,VERIFIED,Core,P3
additional executors for codewind,Community,All,CLOSED,CI-Jenkins,P3
[search] search for method return type results are not consistent,JDT,All,NEW,Core,P3
visiblelinestracker is activated twice in linenumberrulercolumn,Platform,All,RESOLVED,Text,P3
[tmf] incorrect time graph font size on high dpi screen,Tracecompass,Linux,RESOLVED,Other,P3
fix pdf emitter repaginate issue,BIRT,Windows 10,CLOSED,Other,P3
autobuildjob unnecessarily fires the pre_build and post_build events,Platform,All,CLOSED,Other,P3
annoying 404 error page redirects,Community,Linux,CLOSED,Other,P3
[text editors preferences] add color previews for the system default colors in appearance color options table,Platform,Linux,VERIFIED,Text,P3
[jface] fix the non-uniform outline around the colorselector,Platform,Linux,VERIFIED,UI,P3
[wayland] kde / plasma on wayland: wrong scaling etc.,Platform,Linux,NEW,SWT,P3
no dns server for iofog.org domain,Community,All,RESOLVED,Website,P3
your short description,z_Archived,Windows 10,NEW,Other,P3
ambiguous call to function involving typedef of a basic type and static constant initialization,CDT,All,RESOLVED,Other,P3
[sequencediagram] cannot undo the creation of a message with a gate as messageend,Papyrus,Windows 10,RESOLVED,Diagram,P3
custom location for queries project creation is ignored,Viatra,Windows 7,RESOLVED,Other,P3
completion broken if method contains labelled break.,JDT,Mac OS X,CLOSED,Core,P3
[databinding] sudden api warnings for beans databinding,Platform,All,RESOLVED,UI,P3
warning,CDT,Linux,RESOLVED,Other,P3
restart-aut not working if aut arguments are touched,RCPTT,Linux,ASSIGNED,IDE,P3
downloading eclipse should mention jre installation as a prerequisite for eclipse more clearly,Community,Windows 7,RESOLVED,Website,P3
"""eclipse ide for eclipse committers"" should be renamed to ""eclipse ide for eclipse committers and contributors""",Community,Windows 7,NEW,Other,P3
"duplicate license agreements in ""oomph license confirmation"" dialog",Oomph,Windows 7,CLOSED,Other,P3
containerize cgit,Community,Linux,RESOLVED,Other,P3
"state machine flaws, poodle and padding oracles in scandium",Community,All,NEW,Other,P3
cryptic message during installation and no progress of the progress bar,Oomph,Windows 7,RESOLVED,Other,P3
make tooling mode configurable as eclipse preference,ECP,Linux,RESOLVED,EMF Forms,P3
npe when opening aird editor from git history,Sirius,Windows 10,NEW,Core,P3
"welcome page in ""eclipse ide for committer and contributor"" should have link to oomph setup",Platform,Windows 7,CLOSED,Other,P3
add task repository... dialog too wide,Mylyn Tasks,Windows 7,ASSIGNED,Other,P3
nullpointer in dircachecheckout,JGit,All,RESOLVED,JGit,P3
deleting a view should also clean the plugin.xml,ECP,Linux,CLOSED,EMF Forms,P3
[dtl] adapter variables not written back in lua code,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
pull taking long time to complete,Community,Windows 7,CLOSED,Other,P3
[dtl] getvariable() adapter flags are interchanged,4DIAC,Windows 10,CLOSED,Other,P3
nullpointerexception trying to ls-remote dumb http servers,JGit,Mac OS X,NEW,JGit,P3
failed to clone github repository,Community,Linux,CLOSED,GitHub,P3
error:jsp page outline view click javascript method !!!,WTP Source Editing,Windows 10,RESOLVED,Other,P3
remove outdated product/components,Community,Mac OS X,RESOLVED,Other,P3
"make a ""contribute using gerrit"" wikipage for a new contributor",Community,Windows 7,NEW,Other,P3
enable github pages for jakarta transactions,Community,Linux,RESOLVED,GitHub,P3
"list ""gerrit code review"" and ""clone"" on top of summary page of a git repository",Community,Windows 7,NEW,Other,P3
create eclipse/codewind-appsody-extension repository,Community,All,CLOSED,GitHub,P3
[r-console] handler for rj::openineditor should deal better with files newly created in r,Statet,All,CLOSED,Other,P3
[region] small optimizations for loading from cache,Equinox,Mac OS X,RESOLVED,Other,P3
tags for 1.11.0 and 1.12.0 are missing,z_Archived,Mac OS X,RESOLVED,m2e,P3
hipp6 is down,Community,All,RESOLVED,Other,P3
console output is white chars on dark background in jiro jipps,Community,Windows 10,CLOSED,CI-Jenkins,P3
[13] add test framework for java 13 (rtstubs etc),JDT,All,RESOLVED,UI,P3
npe on icons search in workspace on non-bundle projects,PDE,All,VERIFIED,UI,P3
multiple problems have occurred,Platform,Linux,CLOSED,SWT,P3
no default proposals,Platform,Linux,CLOSED,UI,P3
temp *.class files not deleted in system temp folder,JDT,All,RESOLVED,UI,P3
ossrh setup for project vorto at ci-staging.eclipse.org,Community,All,CLOSED,CI-Jenkins,P3
[cleanup] many double/triple class names in *section-classes,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
toolfilter api improvements,Sirius,All,CLOSED,Diagram,P3
eclipse 4diac sonar build failing,Community,Linux,CLOSED,Other,P3
improve image creation in defaultrangeindicator,Platform,All,RESOLVED,Text,P3
preferences->team->git->configuration hangs eclipse,EGit,Windows 10,CLOSED,Core,P3
emf ecore .diagram files are not saved in emf compare api,Ecoretools,Windows 10,RESOLVED,General,P3
certificate expired on your site,z_Archived,Windows 10,CLOSED,m2e,P3
[master detail] read-only detail view handling,ECP,All,CLOSED,EMF Forms,P2
"breakpoints installed with absolute path, wont work with remote debug",CDT,Linux,RESOLVED,Other,P3
[dtl] adding fbs for adapter plugs and sockets in one fb,4DIAC,Windows 10,CLOSED,Other,P3
[completion] javacompletionproposalcomputer is called even when it is disabled in preference,JDT,Linux,RESOLVED,UI,P3
eclipse ide for web and javascript  4.12 2019-06 missing all the key javascript dev related features,EPP,Windows 10,CLOSED,Other,P1
codewind jipp doesn't trigger pull request build for contributor,Community,All,CLOSED,CI-Jenkins,P3
oomph: support 2019-03 to 2019-12,Mylyn,All,RESOLVED,Releng,P3
"need issues feature enabled on cdi, di and bv",jakartaee-platform,Mac OS X,RESOLVED,General,P3
"add description, website and topics to codewind repositories",Community,All,CLOSED,GitHub,P3
[proposal] technology.steady,Community,Windows 10,RESOLVED,Proposals and Reviews,P3
[mentors] mentors required for eclipse vulnerability assessment tool,Community,Windows 10,RESOLVED,Other,P3
[trademark] trademark approval required for eclipse vulnerability assessment tool,Community,Windows 10,RESOLVED,Other,P3
[license] alternative licensing approval for eclipse vulnerability assessment tool (apache 2.0),Community,Windows 10,RESOLVED,Other,P3
support eclipse+mpc:// uri scheme for multiple installations,MPC,All,NEW,Other,P3
activate eclipse+mpc:// scheme on mpc or eclipse startup,MPC,All,CLOSED,Other,P3
roll out support for eclipse+mpc:// uri scheme on the marketplace website,Community,All,NEW,Other,P3
[tmf] filter can't be deleted from filters view,Tracecompass,Windows 10,RESOLVED,Other,P3
error while building ci-staging.eclipse.org/vorto/ for project web-site-deployment,Community,All,CLOSED,CI-Jenkins,P3
contribute chromium support to swt,Platform,All,CLOSED,SWT,P3
[model2doc] the elements coming from gmfdocumentstructuretemplate don't have property view in the papyrus context,Papyrus,All,RESOLVED,Model2Doc,P3
"[generators, ui] find a more flexible solution for user code",eTrice,Windows 10,NEW,Other,P3
[mac] color_widget_disabled_foreground doesn't work correctly on 10.14,Platform,Mac OS X,VERIFIED,SWT,P3
[doc] support different markup languages,eTrice,Windows 10,NEW,Other,P3
[unittest] add unit tests for engine,Ease,All,CLOSED,Other,P3
tests of a modular project have access to the classpath,JDT,Windows 10,VERIFIED,Core,P3
very large text in console appears corrupted,Platform,Linux,CLOSED,SWT,P3
java.lang.classnotfoundexception: org.codehaus.jdt.groovy.integration.languagesupport cannot be found by org.eclipse.jdt.groovy.core_2.9.2.xx-201801051705-e46-release,JDT,Windows 10,VERIFIED,Core,P3
tcp/ip monitor not started automatically,JDT,Windows 10,RESOLVED,Debug,P3
[core] severe performance issue in proxymodificationtrackingadapter,Papyrus,All,CLOSED,Core,P3
languageserverwrapper#stop() starts ls to disconnect documents,lsp4e,All,RESOLVED,IDE,P3
transition conditions often far away from transition control point,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
grant access to projects storage service to the jenkins instance of project ee4j.cdi,Community,Mac OS X,CLOSED,CI-Jenkins,P3
grant access to projects storage service to the jenkins instance of project ee4j.bean-validation,Community,Mac OS X,CLOSED,CI-Jenkins,P3
loop versioner,openj9,Windows 7,RESOLVED,General,P3
spurious local file in recreated folder,Platform,Windows 10,REOPENED,IDE,P3
text editor status line should show caret offset and selection,Platform,All,RESOLVED,Text,P3
installer missing for ppc64le,Platform,Linux,NEW,IDE,P3
expressions after a ternary expression not inside of a compound statement indent at the wrong level,JDT,Windows 10,VERIFIED,Core,P3
"pages, sections, activities should be filtered from ui via workbench activity support / capabilities",Amalgam,All,CLOSED,UI,P3
"pages, sections, activities should be filtered from ui via workbench activity support / capabilities",Amalgam,All,RESOLVED,UI,P3
silent failure on conflicting checkout after branch creation,EGit,All,RESOLVED,Other,P3
issues with default colors in tm terminal,Target Management,Linux,CLOSED,Other,P3
[test][12] prepare switchexpressiontest to run back-to-back with javac,JDT,All,VERIFIED,Core,P3
copy button not working for deploymeny desctiptor,WTP Java EE Tools,Linux,NEW,Other,P3
refactor moveinstancemethodprocessor and movestaticmembersprocessor to jdt.core.manipulation for use by jdt.ls,JDT,Windows 10,RESOLVED,UI,P3
new untitled text files cannot be auto-saved,Platform,Windows 10,REOPENED,UI,P3
show standard message box on paste to repo view error,EGit,Windows 10,RESOLVED,UI,P3
german: technology.subversive version 4.0.5 and 4.0.2 are empty,Babel,Windows 10,RESOLVED,Other,P3
broken jenkins jobs can't be stopped or removed,Community,Linux,CLOSED,CI-Jenkins,P3
constant error: notifying selection listeners,CDT,Linux,NEW,Other,P3
impact of previewenabled check in dom on jdt ui,JDT,All,VERIFIED,UI,P3
